date,SP500,Small_Cap,T_Bills,T_Bonds_10yr,Baa_Corp_Bond,Real_Estate,Gold
2010-12-31,163441.94,2167928.21,2061.47,5796.96,26759.01,2408.84,6809.59
2011-12-31,166871.56,1863551.09,2062.50,6726.52,30038.58,2315.25,7628.39
2012-12-31,193388.43,2216880.38,2064.36,6926.40,32862.16,2464.25,8062.02
2013-12-31,255553.31,3331971.21,2065.59,6295.79,32492.38,2728.39,5835.76
2014-12-31,290115.42,3382950.37,2066.21,6972.34,35984.14,2851.26,5843.02
2015-12-31,294115.79,3074425.30,2067.25,7061.89,35444.07,2999.38,5135.66
2016-12-31,328742.28,3597692.48,2073.86,7110.65,39528.82,3158.51,5551.84
2017-12-31,399768.64,4142023.35,2093.56,7309.87,43146.21,3354.56,6254.84
2018-12-31,382870.94,3470601.37,2134.81,7308.65,41772.99,3506.10,6196.71
2019-12-31,502371.39,3884297.05,2179.85,8012.89,48142.43,3635.31,7378.88
2020-12-31,592914.80,5211172.92,2187.70,8920.90,53246.10,4014.35,9162.31
2021-12-31,761710.83,6378996.77,2188.57,8526.95,53787.14,4771.64,8818.31
2022-12-31,624317.20,4918206.51,2234.31,7006.75,45596.36,5041.32,8866.76
2023-12-31,787018.53,5173461.43,2352.29,7278.61,49579.51,5327.59,10042.68
2024-12-31,982817.82,5623552.58,2474.14,7159.45,50440.38,5538.74,12649.47
2025-12-31,1157009.09,6553125.82,2578.30,7717.56,53952.41,5626.02,21025.41
